ID,S,T,Dsi_change,Avg_Fo_D,Avg_Fv_Fm_D,Avg_Sigma_D,Avg_Fo_L,Avg_Fv_Fm_L,Growth_R2,Growth_rate,pH_mean,pH.sd,CO2.mean,CO2.sd,pCO2.mean,pCO2.sd,HCO3.mean,HCO3.sd,CO3.mean,CO3.sd,DIC.mean,DIC.sd,ALK.mean,ALK.sd,OmegaAragonite.mean,OmegaAragonite.sd,OmegaCalcite.mean,OmegaCalcite.sd
1,33.06,15.5,26.276391,37.08875,0.40675,0.033125,39.60333333,0.5405,0.9957,1.0499,8.246060515,0.227463672,8.49E-06,5.08E-06,228.4641173,136.5738368,0.001555255,0.000176952,0.000206144,8.22E-05,0.00176989,9.99E-05,0.002077673,2.82E-05,3.187660565,1.270725709,4.975562758,1.983453188
2,33.06,15.5,13.098639,19.63142857,0.398285714,0.034228571,20.05833333,0.523833333,0.9999,1.068,8.365842336,0.07196731,5.92E-06,1.25E-06,159.1773685,33.58661746,0.001553567,7.28E-05,0.000261943,3.11E-05,0.001821426,4.30E-05,0.002209101,3.89E-06,4.050487497,0.48020475,6.32233399,0.749543065
3,33.06,15.5,14.065152,23.707,0.4081,0.03412,24.455,0.5104,0.9992,1.0291,8.556484991,0.08483848,3.52E-06,9.20E-07,94.59909989,24.7584234,0.001424243,9.88E-05,0.000372398,4.68E-05,0.001800156,5.29E-05,0.002344224,1.47E-05,5.758475936,0.723228685,8.988302808,1.128874808
4,33.06,15.5,7.465692,14.5575,0.33525,0.033625,15.76,0.467666667,0.9998,0.8621,8.647777331,0.028101197,2.74E-06,2.45E-07,73.59103246,6.579515088,0.001386934,3.44E-05,0.000446355,1.78E-05,0.001836024,1.69E-05,0.002478084,7.87E-06,6.902098329,0.275216848,10.77336269,0.429581089
5,33.06,15.5,21.606252,46.71875,0.340125,0.03825,42.29666667,0.480777778,0.9998,0.7683,8.819671828,0.111556321,1.66E-06,6.25E-07,44.67039664,16.82434738,0.001212772,0.000156098,0.000579639,7.39E-05,0.001794071,8.28E-05,0.002614782,1.93E-05,8.963095283,1.142368676,13.99033623,1.783102977
6,33.06,15.5,12.197967,33.06545455,0.331090909,0.036927273,32.56571429,0.469571429,0.997,0.7024,8.899173764,0.065765325,1.31E-06,3.03E-07,35.14160361,8.146679955,0.001169703,9.64E-05,0.00067107,4.62E-05,0.001842079,5.05E-05,0.002776765,1.24E-05,10.37691906,0.714669323,16.19714866,1.115514652
7,33.06,15.5,10.911126,29.69666667,0.339333333,0.0368,,,0.9988,0.573,8.960637541,0.049028775,1.09E-06,1.94E-07,29.24319373,5.229665387,0.001126949,7.53E-05,0.000744778,3.42E-05,0.001872814,4.13E-05,0.002898673,5.03E-06,11.51668974,0.529463674,17.97619646,0.826430445
8,33.06,15.5,8.705694,13.592,0.3744,0.03474,15.17833333,0.541833333,0.9948,1.0917,7.63841726,0.174829355,4.07E-05,1.67E-05,1094.880161,450.5665686,0.001935864,4.10E-05,6.32E-05,2.35E-05,0.002039738,3.43E-05,0.002097701,1.79E-05,0.976985039,0.363803304,1.524958594,0.567854115
9,33.06,15.5,7.486005,16.36333333,0.405333333,0.033783333,17.94428571,0.542857143,0.9996,1.1765,7.877404181,0.136591153,2.31E-05,7.84E-06,620.2437545,210.8307287,0.001929357,6.21E-05,0.00010741,2.99E-05,0.002059819,4.00E-05,0.002199927,1.21E-05,1.660901524,0.462787076,2.592471689,0.722356127
10,33.06,15.5,4.9610016,14.066,0.386,0.0335,14.25,0.530857143,0.9998,1.03,8.099658333,0.069197852,1.32E-05,2.39E-06,356.2351026,64.31942197,0.001888582,4.19E-05,0.000172791,2.36E-05,0.002074613,2.07E-05,0.002317757,1.57E-05,2.671905626,0.365238898,4.170530033,0.570094908
